List,Card Title,Labels,Description
"Sprint 0 - Setup","BE-001 - Backend framework, environments, and project baseline","Backend, Phase 1, P0","Confirm framework and module structure. Add health endpoint, env config, request logging, validation, error middleware, and setup README. Acceptance: backend boots locally and Michael can run it."
"Sprint 0 - Setup","BE-002 - PostgreSQL and Prisma schema v1","Backend, Phase 1, P0, Multi-tenant","Create the internal CRM schema draft. Add account-scoped base columns, indexes, db.sql, and demo seed. Acceptance: fresh database import and seed run cleanly."
"Sprint 0 - Setup","BE-003 - Event model and logging standard","Backend, Phase 1, P0, Events","Create shared events table and event logging service for leads, calls, consults, revenue, insights, and audits. Acceptance: all events include clinic scope and structured payload."
"Sprint 1 - Auth and Tenancy","BE-004 - Auth endpoints and session model","Backend, Phase 1, P0, Security","Build register, login, logout, and me endpoints. Add session expiry and consistent auth errors. Acceptance: user can register/login and frontend receives session data."
"Sprint 1 - Auth and Tenancy","BE-005 - Clinics, user memberships, roles, and invites","Backend, Phase 1, P0, Multi-tenant, Security","Build clinics, memberships, invites, role changes, and removals. Acceptance: owner can invite team and users only see their clinics."
"Sprint 1 - Auth and Tenancy","BE-006 - Tenant middleware and permission middleware","Backend, Phase 1, P0, Multi-tenant, Security","Resolve active clinic per request, reject cross-clinic access, enforce permissions, add super admin rules. Acceptance: cross-clinic access fails closed."
"Sprint 1 - Auth and Tenancy","BE-007 - Audit log service","Backend, Phase 1, P1, Events, Security","Create audit logs for role changes, invites, removals, clinic setting changes, and security actions. Acceptance: clinic-scoped audit feed works."
"Sprint 2 - Onboarding and Treatments","BE-008 - Onboarding status and partial-save endpoints","Backend, Phase 1, P0, Multi-tenant","Build onboarding status and save endpoints. Return completion percentage and validate required fields. Acceptance: onboarding can be resumed and completed."
"Sprint 2 - Onboarding and Treatments","BE-009 - Staff and practitioner profiles","Backend, Phase 1, P0","Build staff/practitioner models and CRUD. Link to users where relevant. Acceptance: practitioners are selectable for consults and reporting."
"Sprint 2 - Onboarding and Treatments","BE-010 - Treatment categories and treatments API","Backend, Phase 1, P0, Reporting","Seed standard treatment categories and build treatment CRUD with price, margin, priority, and high-ticket fields. Acceptance: treatments drive revenue estimates."
"Sprint 2 - Onboarding and Treatments","BE-011 - Default clinic setup automation","Backend, Phase 1, P0, Events","Create default pipeline stages, call outcomes, consult outcomes, SLA settings, and reputation settings after onboarding. Acceptance: new clinic is usable immediately."
"Sprint 3 - Leads and Inbox","BE-012 - Lead CRUD, filters, and search","Backend, Phase 1, P0, Multi-tenant","Build lead model and CRUD with filters, search, pagination, and tenant isolation. Acceptance: manual leads appear in inbox and filters are fast."
"Sprint 3 - Leads and Inbox","BE-013 - Lead notes, tags, timeline, and events","Backend, Phase 1, P0, Events","Build notes, tags, assignment changes, and combined timeline from notes/events. Acceptance: lead detail drawer has accurate activity."
"Sprint 3 - Leads and Inbox","BE-014 - Website form webhook and UTM capture","Backend, Phase 1, P0, Integrations, Events","Build website form webhook with source, campaign, UTM, gclid, and fbclid capture. Acceptance: webhook creates lead in correct clinic."
"Sprint 3 - Leads and Inbox","BE-015 - Lead duplicate detection and CSV export","Backend, Phase 1, P1","Detect duplicates by phone/email and export filtered leads CSV. Acceptance: duplicates are identified and exports are tenant-safe."
"Sprint 4 - Pipeline and SLA","BE-016 - Pipeline stages and stage movement","Backend, Phase 1, P0, Events","Build pipeline stages, stage transitions, stage history, required fields, lost reason, and pipeline metrics. Acceptance: stage movement writes events."
"Sprint 4 - Pipeline and SLA","BE-017 - SLA engine and breach detection","Backend, Phase 1, P0, Reporting","Set SLA deadline on lead creation, record first response, run breach job, return response metrics and estimated revenue risk. Acceptance: breaches are detected."
"Sprint 5 - Calls","BE-018 - Twilio tracking number and inbound call webhooks","Backend, Phase 1, P0, Integrations","Set up Twilio call webhooks, tracking numbers, call metadata, recording metadata, and retry-safe handling. Acceptance: test call creates call record."
"Sprint 5 - Calls","BE-019 - Call list, details, notes, tags, and outcomes","Backend, Phase 1, P0, Events","Build calls list/detail, filters, notes, outcomes, missed flag, staff attribution, and call metrics. Acceptance: calls can be tagged and conversion metrics work."
"Sprint 5 - Calls","BE-020 - Call-to-lead matching and missed call recovery","Backend, Phase 1, P0, Events","Normalize numbers, match calls to leads or create leads, mark missed calls, and write events. Acceptance: unknown caller creates lead."
"Sprint 5 - Calls","BE-021 - AI call analysis job","Backend, Phase 1, P1, AI","Build structured AI call analysis from transcript/manual transcript with regeneration and correction. Acceptance: output matches documented JSON and is advisory."
"Sprint 6 - Consults and Plan Value","BE-022 - Consult CRUD and outcome logging","Backend, Phase 1, P0, Events, Reporting","Build consult CRUD, practitioner assignment, treatment interest, attendance, outcomes, revenue, deposit, lost reason, and metrics. Acceptance: outcome logging is quick."
"Sprint 6 - Consults and Plan Value","BE-023 - Treatment plan value light","Backend, Phase 1, P1, Reporting","Track commercial treatment plan value, status, expected/realised revenue, sessions, deposit, accepted/rejected, and drop-off. Acceptance: no clinical EMR fields."
"Sprint 7 - Revenue Dashboard","BE-024 - Dashboard summary and funnel APIs","Backend, Phase 1, P0, Reporting","Build dashboard summary, funnel, revenue leaks, opportunities, date ranges, and caching. Acceptance: dashboard answers money/leak questions quickly."
"Sprint 7 - Revenue Dashboard","BE-025 - Revenue by channel, treatment, practitioner, and source","Backend, Phase 1, P0, Reporting","Build breakdown APIs for revenue by channel, treatment, practitioner, and source. Acceptance: owner can identify best/worst areas."
"Sprint 8 - Attribution and ROAS","BE-026 - Manual ad spend and campaign mapping","Backend, Phase 1, P0, Reporting","Build manual ad spend, channel/campaign mapping, attribution labels, and manual corrections. Acceptance: spend can be entered without Google/Meta APIs."
"Sprint 8 - Attribution and ROAS","BE-027 - ROAS and campaign metrics","Backend, Phase 1, P0, Reporting","Calculate cost per lead, booked consult, attended consult, sold treatment, and ROAS by channel/campaign. Acceptance: dashboard can show cost per booked consult."
"Sprint 9 - AI Growth Brief","BE-028 - AI insight generation job and prompt logs","Backend, Phase 1, P0, AI, Reporting","Generate 3-5 metric-backed insights with structured prompts and prompt logs. Acceptance: insights cite metrics and recommend action."
"Sprint 9 - AI Growth Brief","BE-029 - Insight actions, assignment, archive, and history","Backend, Phase 1, P1, AI","Build complete/archive/assign endpoints and insight history. Acceptance: insight recommendations can become tracked actions."
"Sprint 10 - Benchmarks, Competitors, Reputation","BE-030 - Benchmarking v1","Backend, Phase 1, P1, Reporting","Build anonymised benchmark snapshots, percentile calculation, top quartile comparison, thresholds, and gap explanations. Acceptance: insufficient data is labelled."
"Sprint 10 - Benchmarks, Competitors, Reputation","BE-031 - Competitor snapshot light","Backend, Phase 1, P1, AI","Build competitor CRUD and AI differentiation/campaign angle generation from structured notes. Acceptance: no heavy scraping; useful strategic notes."
"Sprint 10 - Benchmarks, Competitors, Reputation","BE-032 - Review and reputation basics","Backend, Phase 1, P1, AI","Build review link storage, review request tracking, AI reply suggestion, and GBP checklist. Acceptance: compliance-safe reputation basics work."
"Sprint 11 - Reports and Pilot QA","BE-033 - Reports, snapshots, and CSV export","Backend, Phase 1, P1, Reporting","Build report generation, snapshots, report retrieval, and export. Acceptance: monthly executive report snapshot can be generated."
"Sprint 11 - Reports and Pilot QA","BE-034 - Pilot clinic setup, demo data, and backend QA","Backend, Phase 1, P0, Security","Create pilot/demo seed data, smoke tests, tenant tests, and release checklist. Acceptance: Max can demo and Michael can onboard."
"Backend Hardening","BE-035 - Tenant isolation test suite","Backend, Phase 1, P0, Multi-tenant, Security","Automated tests for read/write/list/export/webhook tenant isolation. Acceptance: cross-clinic access tests pass."
"Backend Hardening","BE-036 - Background jobs baseline with Redis/BullMQ","Backend, Phase 1, P0, Reporting","Set up Redis/BullMQ job runner, retries, logs, failed-job visibility, SLA jobs. Acceptance: jobs run locally and on staging."
"Backend Hardening","BE-037 - API validation, rate limits, and consistent errors","Backend, Phase 1, P0, Security","Standardise validation, errors, sensitive endpoint rate limits, webhook secret validation, and safe logging. Acceptance: frontend can reliably display API errors."
